NAME,TEAM,SALARY,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK,Duration
JamesHarden,Oklahoma City Thunder,4304520,PG,82,26.7,12.2,3.6,8.3,43.6,1.4,4,34.9,3.5,4.2,84.3,3.1,2.1,1.1,0.3,1.3,0,0,16.42,81,2010-2011
JaredDudley,Phoenix Suns,2151068,SF,82,26.1,10.6,3.7,7.7,47.7,1.3,3.1,41.5,2,2.7,74.3,3.9,1.3,1.1,0.2,0.9,2,0,15.67,98,2010-2011
JasonKidd,Dallas Mavericks,8610500,PG,80,33.2,7.9,2.7,7.5,36.1,1.7,4.9,34,0.8,1,87,4.4,8.2,1.7,0.4,2.2,9,2,14.46,139,2010-2011
JasonRichardson,Phoenix Suns,14444443,SG,80,33.9,15.6,5.9,13.2,44.7,2.4,6,39.5,1.5,2,73,4.1,1.8,1.2,0.2,1.2,1,0,15.02,43,2010-2011
JasonTerry,Dallas Mavericks,9873000,G,82,31.3,15.8,6,13.3,45.1,1.5,4.3,36.2,2.2,2.6,85,1.9,4.1,1.1,0.2,2,1,0,15.93,41,2010-2011
JasonThompson,Sacramento Kings,2178000,PF,75,23.3,8.8,3.6,7.1,50.7,0,0,0,1.6,2.7,60.5,6.1,1.2,0.4,0.6,1.3,9,0,13.59,124,2010-2011
JeffGreen,Oklahoma City Thunder,4455988,SF,75,32.4,13.3,4.9,10.9,44.9,0.9,2.8,30.3,2.6,3.3,81.1,4.8,1.4,0.7,0.5,1.3,4,0,12.92,67,2010-2011
JJHickson,Cleveland Cavaliers,1528920,C,80,28.2,13.8,5.4,11.7,45.8,0,0.1,0,3.1,4.6,67.3,8.7,1.1,0.6,0.7,2.2,28,0,15.67,61,2010-2011
JoeJohnson,Atlanta Hawks,16324500,G,72,35.5,18.2,7.1,16.1,44.3,1.2,4.2,29.7,2.7,3.4,80.2,4,4.7,0.7,0.1,2,2,0,16.46,28,2010-2011
JoelAnthony,Miami Heat,3300000,PF,75,19.5,2,0.7,1.3,53.5,0,0,0,0.6,1,64.4,3.5,0.3,0.1,1.2,0.5,0,0,7.29,186,2010-2011
JohnSalmons,Milwaukee Bucks,8.00E+06,SF,73,35,14,5.1,12.3,41.5,1.1,3,37.9,2.7,3.3,81.3,3.6,3.5,1,0.4,1.9,1,0,12.89,58,2010-2011
JordanHill,Houston Rockets,2669520,C,72,15.6,5.6,2.4,4.9,49.1,0,0,0,0.8,1.2,70.6,4.3,0.4,0.2,0.7,0.9,2,0,13.1,165,2010-2011
JoshSmith,Atlanta Hawks,11700000,PF,77,34.4,16.5,6.5,13.5,47.7,0.7,2,33.1,3,4.1,72.5,8.5,3.3,1.3,1.6,2.6,31,1,19.31,35,2010-2011
JRSmith,Denver Nuggets,6757851,G,79,24.9,12.3,4.3,9.9,43.5,1.6,4,39,2.1,2.8,73.8,4.1,2.2,1.2,0.2,1.3,2,0,16.43,80,2010-2011
JrueHoliday,Philadelphia 76ers,1627920,PG,82,35.4,14,5.4,12.2,44.6,1,2.7,36.5,2.1,2.5,82.3,4,6.5,1.5,0.4,2.7,15,1,15.49,60,2010-2011
KeithBogans,Chicago Bulls,1600000,SG,82,17.8,4.4,1.5,3.7,40.4,1.1,2.9,38,0.3,0.4,65.6,1.8,1.2,0.5,0.1,0.5,0,0,9.02,178,2010-2011
