NAME,TEAM,SALARY,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK,Duration
GregMonroe,Detroit Pistons,3007920,C,66,31.5,15.4,6.2,11.8,52.1,0,0,0,3,4.1,73.9,9.7,2.3,1.3,0.7,2.4,30,0,22.09,38,2011-2012
JamalCrawford,Portland Trail Blazers,5.00E+06,SF,60,26.9,14,4.7,12.3,38.4,1.3,4.3,30.8,3.2,3.4,92.7,2,3.2,0.9,0.2,1.9,0,0,15.8,47,2011-2012
JameerNelson,Orlando Magic,8600000,G,57,29.9,11.9,4.5,10.6,42.7,1.5,4.1,37.7,1.2,1.5,80.7,3.2,5.7,0.7,0.1,2.4,4,0,14.66,71,2011-2012
JamesHarden,Oklahoma City Thunder,4604760,PG,62,31.4,16.8,5,10.1,49.1,1.8,4.7,39,5,6,84.6,4.1,3.7,1,0.2,2.2,0,0,21.13,27,2011-2012
JamesJohnson,Toronto Raptors,2812006,PF,62,25.2,9.1,3.8,8.4,45,0.3,1,31.7,1.3,1.9,70.4,4.7,2,1.1,1.4,1.6,3,0,14.54,111,2011-2012
JaredDudley,Phoenix Suns,4250000,SF,65,31.1,12.7,4.8,9.9,48.5,1.2,3.2,38.3,1.8,2.5,72.6,4.6,1.7,0.8,0.3,1.1,2,0,15.48,60,2011-2012
JasonMaxiell,Detroit Pistons,5.00E+06,PF,65,22.6,6.5,2.8,5.9,47.8,0,0,0,0.9,1.6,54.7,5.1,0.6,0.5,0.8,1.1,3,0,11.78,143,2011-2012
JasonTerry,Dallas Mavericks,11158000,G,63,31.7,15.1,5.7,13.2,43,2.2,5.8,37.8,1.6,1.8,88.3,2.4,3.6,1.2,0.2,2,0,0,15.8,40,2011-2012
JasonThompson,Sacramento Kings,3001284,PF,64,25.9,9.1,3.7,6.9,53.5,0,0,0,1.7,2.8,60.2,6.9,1.2,0.7,0.7,1.1,15,0,16.41,112,2011-2012
JimmerFredette,Sacramento Kings,2339040,G,61,18.6,7.6,2.8,7.3,38.6,1.3,3.5,36.1,0.7,0.8,83.3,1.2,1.8,0.5,0,1.1,0,0,10.84,131,2011-2012
JJRedick,Orlando Magic,6750000,SG,65,27.2,11.6,3.8,9,42.5,1.7,4.1,41.8,2.2,2.4,91.1,2.3,2.5,0.4,0.1,1,0,0,15.14,75,2011-2012
JoakimNoah,Chicago Bulls,1.20E+07,C,64,30.4,10.2,3.9,7.7,50.8,0,0,0,2.4,3.2,74.8,9.8,2.5,0.6,1.4,1.4,24,1,19.59,92,2011-2012
JoeJohnson,Atlanta Hawks,18038573,G,60,35.5,18.8,7.1,15.5,45.4,2.1,5.4,38.8,2.6,3.1,84.9,3.7,3.9,0.8,0.2,1.9,0,0,18.5,18,2011-2012
JoelAnthony,Miami Heat,3700000,PF,64,21.1,3.4,1.3,2.4,55.9,0,0,0,0.8,1.1,69,3.9,0.1,0.6,1.3,0.7,0,0,10.3,175,2011-2012
JonasJerebko,Detroit Pistons,4500000,PF,64,22.9,8.7,3.3,7.1,46.8,0.5,1.7,30.2,1.6,1.9,80.6,4.8,0.7,0.6,0.3,1,1,0,14.25,119,2011-2012
JoshSmith,Atlanta Hawks,12400000,PF,66,35.3,18.8,7.6,16.7,45.8,0.4,1.7,25.7,3.1,4.9,63,9.6,3.9,1.4,1.7,2.5,28,0,21.14,19,2011-2012
JrueHoliday,Philadelphia 76ers,2674852,PG,65,33.8,13.5,5.5,12.8,43.2,1,2.6,38,1.4,1.8,78.3,3.3,4.5,1.6,0.3,2.1,1,0,14.74,52,2011-2012
KembaWalker,Charlotte Bobcats,2356320,PG,66,27.2,12.1,4.3,11.6,36.6,1,3.4,30.5,2.5,3.2,78.9,3.5,4.4,0.9,0.3,1.8,2,1,14.98,67,2011-2012
KendrickPerkins,Oklahoma City Thunder,7123626,C,65,26.8,5.1,2,4,48.9,0,0,0,1.1,1.7,65.2,6.6,1.2,0.4,1.1,1.8,2,0,8.69,161,2011-2012
KevinDurant,Oklahoma City Thunder,15506632,SF,66,38.6,28,9.7,19.7,49.6,2,5.2,38.7,6.5,7.6,86,8,3.5,1.3,1.2,3.8,18,0,26.26,1,2011-2012
KevinGarnett,Boston Celtics,21247044,PF,60,31.1,15.8,6.5,13,50.3,0.1,0.2,33.3,2.7,3.2,85.7,8.2,2.9,0.9,1,1.8,21,0,20.47,34,2011-2012
KevinLove,Minnesota Timberwolves,4609701,PF,55,39,26,8.6,19.3,44.8,1.9,5.1,37.2,6.9,8.4,82.4,13.3,2,0.9,0.5,2.3,48,0,25.41,4,2011-2012
KobeBryant,Los Angeles Lakers,25244493,SF,58,38.5,27.9,9.9,23,43,1.5,4.9,30.3,6.6,7.8,84.5,5.4,4.6,1.2,0.3,3.5,3,0,21.95,2,2011-2012
KyleKorver,Chicago Bulls,5.00E+06,SG,65,22.6,8.1,2.7,6.3,43.2,1.8,4.2,43.5,0.8,1,83.3,2.4,1.7,0.6,0.2,0.8,0,0,13.59,122,2011-2012
LaMarcusAldridge,Portland Trail Blazers,1.40E+07,C,55,36.3,21.7,8.8,17.1,51.2,0,0.2,18.2,4.1,5,81.4,8,2.4,0.9,0.8,2,13,0,22.73,7,2011-2012
LeandroBarbosa,Toronto Raptors,7600000,G,64,21.6,11.1,4.2,10,42.5,1,2.7,38.2,1.6,1.9,81.5,2,1.5,0.9,0.1,1.5,0,0,14.07,83,2011-2012
LeBronJames,Miami Heat,17545000,SF,62,37.5,27.1,10,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,7.9,6.2,1.9,0.8,3.4,23,0,30.8,3,2011-2012
LouAmundson,Indiana Pacers,2763450,PF,60,12.6,3.6,1.5,3.5,43,0,0,0,0.6,1.4,42.7,3.7,0.2,0.5,0.7,0.8,1,0,11.54,173,2011-2012
LouWilliams,Philadelphia 76ers,5176000,SG,64,26.3,14.9,5,12.2,40.7,1.3,3.6,36.2,3.7,4.6,81.2,2.4,3.5,0.8,0.3,1.1,0,0,20.22,42,2011-2012
LuisScola,Houston Rockets,8591793,F,66,31.3,15.5,6.6,13.5,49.1,0,0,0,2.3,3,77.3,6.5,2.1,0.5,0.4,2.3,11,0,15.5,35,2011-2012
MarcGasol,Memphis Grizzlies,12922194,C,65,36.5,14.6,5.5,11.4,48.2,0,0.2,8.3,3.6,4.9,74.8,8.9,3.1,1,1.9,1.9,24,0,18.41,44,2011-2012
MarcinGortat,Phoenix Suns,7258960,C,66,32,15.4,6.5,11.7,55.5,0,0,0,2.5,3.8,64.9,10,0.9,0.7,1.5,1.4,31,0,21.21,37,2011-2012
MarcusCamby,Portland Trail Blazers,11227250,C,59,22.9,4.9,2.2,4.9,44.6,0,0.1,40,0.5,1.1,45.3,9,1.8,0.8,1.4,1,7,0,16.25,162,2011-2012
MarioChalmers,Miami Heat,4.00E+06,G,64,28.5,9.8,3.5,7.8,44.8,1.6,4.1,38.8,1.3,1.6,79.2,2.7,3.5,1.5,0.2,2.2,0,0,12.98,95,2011-2012
MarkieffMorris,Phoenix Suns,2005560,PF,63,19.5,7.4,2.8,6.9,39.9,0.7,2,34.7,1.2,1.7,71.7,4.4,1,0.7,0.7,1.1,1,0,12.18,134,2011-2012
MarreeseSpeights,Memphis Grizzlies,2721255,F,60,22.4,8.8,3.7,8.1,45.3,0,0.1,0,1.4,1.8,77.1,6.2,0.8,0.4,0.5,1.2,7,0,14.12,118,2011-2012
MarvinWilliams,Atlanta Hawks,7500000,PF,57,26.3,10.2,3.6,8.2,43.2,1,2.6,38.9,2,2.6,78.8,5.2,1.2,0.8,0.3,0.7,2,0,15.87,93,2011-2012
MattBarnes,Los Angeles Lakers,1906200,SF,63,22.9,7.8,2.8,6.1,45.2,0.7,2.2,33.3,1.5,2,74.2,5.5,2,0.6,0.8,1.2,4,0,15.55,127,2011-2012
MettaWorldPeace,Los Angeles Lakers,6790640,SF,64,26.9,7.7,2.9,7.3,39.4,0.9,3,29.6,1.1,1.8,61.7,3.4,2.2,1.1,0.4,1.1,0,0,11.03,128,2011-2012
MikeConley,Memphis Grizzlies,6611571,PG,62,35.1,12.7,4.8,11,43.3,1,2.6,37.7,2.2,2.5,86.1,2.5,6.5,2.2,0.2,2,8,0,16.79,58,2011-2012
NazrMohammed,Oklahoma City Thunder,3750000,C,63,11,2.7,1.3,2.7,46.7,0,0,0,0.2,0.4,56.5,2.7,0.2,0.3,0.6,0.4,0,0,11.02,179,2011-2012
NickCollison,Oklahoma City Thunder,3272997,F,63,20.7,4.5,1.9,3.2,59.7,0,0,0,0.7,1,71,4.3,1.3,0.5,0.4,1,1,0,12.11,168,2011-2012
NicolasBatum,Portland Trail Blazers,2155365,SF,59,30.4,13.9,4.9,10.9,45.1,1.8,4.6,39.1,2.3,2.7,83.6,4.6,1.4,1,1,1.5,2,0,17.32,48,2011-2012
O.J.Mayo,Memphis Grizzlies,5632637,SG,66,26.8,12.6,4.5,11.2,40.8,1.5,4.2,36.4,2,2.6,77.3,3.2,2.6,1.1,0.3,1.9,0,0,14.76,61,2011-2012
OmerAsik,Chicago Bulls,1857500,C,66,14.7,3.1,1.2,2.4,50.6,0,0,0,0.7,1.6,45.6,5.3,0.5,0.5,1,1,0,0,13.44,178,2011-2012
PatrickPatterson,Houston Rockets,1959960,PF,64,23.2,7.7,3.5,8,44,0,0,0,0.6,0.9,70.2,4.5,0.8,0.4,0.6,0.8,1,0,11.58,130,2011-2012
PauGasol,Los Angeles Lakers,18714150,C,65,37.4,17.4,7.1,14.1,50.1,0.1,0.4,25.9,3.1,4,78.2,10.4,3.7,0.6,1.4,2.2,42,1,20.51,25,2011-2012
PaulGeorge,Indiana Pacers,2406240,SF,66,29.7,12.1,4.3,9.7,44,1.4,3.5,38.5,2.2,2.8,80.2,5.6,2.4,1.6,0.6,1.8,2,0,16.55,68,2011-2012
PaulPierce,Boston Celtics,15333334,SF,61,34,19.4,6.5,14.6,44.3,1.6,4.5,36.6,4.8,5.6,85.2,5.2,4.5,1.1,0.4,2.8,6,0,19.69,14,2011-2012
RamonSessions,Los Angeles Lakers,4257973,G,64,26.7,11.3,3.8,8.8,42.8,0.7,1.5,44.3,3,3.9,78.2,3.3,5.5,0.7,0,2.2,5,0,16.79,82,2011-2012
RandyFoye,LA Clippers,4250000,SG,65,25.9,11,3.9,9.9,39.8,2,5.1,38.6,1.1,1.3,85.9,2.1,2.2,0.7,0.4,1.1,1,0,13.56,86,2011-2012
RaymondFelton,Portland Trail Blazers,7560000,PG,60,31.8,11.4,4.4,10.7,40.7,1,3.4,30.5,1.7,2.1,80.6,2.5,6.5,1.3,0.2,2.8,6,0,13.46,77,2011-2012
RobinLopez,Phoenix Suns,2862602,C,64,14,5.4,1.9,4.2,46.1,0,0,0,1.6,2.2,71.4,3.3,0.3,0.3,0.9,0.7,0,0,15.23,156,2011-2012
RonnieBrewer,Chicago Bulls,4710000,SF,66,24.8,6.9,2.9,6.7,42.7,0.3,1,27.5,0.8,1.5,56,3.5,2.1,1.1,0.3,0.9,1,0,12.3,139,2011-2012
RoyHibbert,Indiana Pacers,2588590,C,65,29.8,12.8,5.1,10.3,49.7,0,0,0,2.6,3.7,71.1,8.8,1.7,0.5,2,2,21,0,19.35,55,2011-2012
RudyGay,Memphis Grizzlies,15032144,SF,65,37.3,19,7.5,16.4,45.5,0.8,2.7,31.2,3.2,4,79.1,6.4,2.3,1.5,0.8,2.5,8,0,17.85,17,2011-2012
RussellWestbrook,Oklahoma City Thunder,5082416,PG,66,35.3,23.6,8.8,19.2,45.7,0.9,3,31.6,5.2,6.3,82.3,4.6,5.5,1.7,0.3,3.6,7,0,23,5,2011-2012
RyanAnderson,Orlando Magic,2244601,F,61,32.2,16.1,5.4,12.4,43.9,2.7,6.9,39.3,2.5,2.8,87.7,7.7,0.9,0.8,0.4,0.9,14,0,21.23,33,2011-2012
SamuelDalembert,Houston Rockets,7.00E+06,C,65,22.2,7.5,3.1,6.1,50.6,0,0,0,1.4,1.7,79.6,7,0.5,0.6,1.7,1.3,10,0,16.98,133,2011-2012
ShaneBattier,Miami Heat,3135000,SF,65,23.1,4.8,1.7,4.5,38.7,1,2.8,33.9,0.4,0.6,62.2,2.4,1.3,1,0.5,0.6,0,0,9.76,163,2011-2012
ShannonBrown,Phoenix Suns,3500000,PG,59,23.7,11,4.3,10.1,42,1.2,3.2,36.2,1.4,1.7,80.8,2.7,1.2,0.7,0.3,1.1,0,0,13.68,84,2011-2012
ShaunLivingston,Milwaukee Bucks,3500000,PG,58,18.8,5.5,2.2,4.7,46.9,0,0.1,66.7,1.1,1.4,78.5,2.1,2.1,0.5,0.3,1.1,0,0,11.06,154,2011-2012
ShawnMarion,Dallas Mavericks,8022449,SG,63,30.5,10.6,4.6,10.3,44.6,0.3,1.1,29.4,1.2,1.5,79.6,7.4,2.1,1.1,0.6,1.6,12,0,15.05,87,2011-2012
SteveNash,Phoenix Suns,11689062,PG,62,31.6,12.5,4.8,9,53.2,0.9,2.3,39,2,2.3,89.4,3,10.7,0.6,0.1,3.7,28,0,20.29,65,2011-2012
TayshaunPrince,Detroit Pistons,6292135,SF,63,33.1,12.7,5.3,12.7,42.1,0.6,1.7,35.6,1.4,1.8,77.4,4.5,2.4,0.4,0.5,1.2,2,0,12.89,59,2011-2012
ThaddeusYoung,Philadelphia 76ers,8039130,PF,63,27.9,12.8,5.5,10.9,50.7,0,0.1,25,1.8,2.3,77.1,5.2,1.2,1,0.7,0.9,1,0,18.93,56,2011-2012
TonyAllen,Memphis Grizzlies,3150000,SG,58,26.3,9.8,3.6,7.7,46.9,0.1,0.4,30.8,2.4,3,80,4,1.4,1.8,0.6,1.6,0,0,15.7,96,2011-2012
TristanThompson,Cleveland Cavaliers,3726600,C,60,23.7,8.2,3.2,7.4,43.9,0,0,0,1.8,3.2,55.2,6.5,0.5,0.5,1,1.4,9,0,13.37,121,2011-2012
TylerHansbrough,Indiana Pacers,2138040,PF,66,21.8,9.3,2.9,7.3,40.5,0,0,0,3.4,4.2,81.3,4.4,0.5,0.8,0.1,1,2,0,14.71,106,2011-2012
TyrekeEvans,Sacramento Kings,5251825,G,63,34.3,16.5,6.5,14.3,45.3,0.3,1.6,20.2,3.2,4.1,77.9,4.6,4.5,1.3,0.5,2.7,5,0,16.48,30,2011-2012
UdonisHaslem,Miami Heat,4060000,PF,64,24.8,6,2.4,5.6,42.3,0,0,0,1.3,1.6,81.4,7.3,0.7,0.5,0.4,0.9,4,0,10.89,149,2011-2012
VinceCarter,Dallas Mavericks,3.00E+06,SG,61,25.3,10.1,3.7,8.9,41.1,1.2,3.4,36.1,1.6,1.9,82.6,3.4,2.3,0.9,0.4,1.4,1,0,13.61,94,2011-2012
WesleyJohnson,Minnesota Timberwolves,4006080,F,65,22.6,6,2.4,6.1,39.8,0.8,2.6,31.4,0.4,0.5,70.6,2.7,0.9,0.5,0.7,0.9,0,0,8.08,147,2011-2012
WesleyMatthews,Portland Trail Blazers,6505320,SG,66,33.8,13.7,4.8,11.6,41.2,2,5.1,38.3,2.2,2.6,86,3.4,1.7,1.5,0.2,1.1,0,0,14.12,51,2011-2012
ZazaPachulia,Atlanta Hawks,4750000,C,58,28.3,7.8,2.9,5.8,49.9,0,0,0,2,2.7,74.1,7.9,1.4,0.9,0.5,1.4,11,0,14.04,126,2011-2012
AlexeyShved,Minnesota Timberwolves,2934610,PG,77,23.9,8.6,3.1,8.2,37.2,1.1,3.7,29.5,1.4,1.9,72,2.3,3.7,0.7,0.4,1.9,2,0,11.01,126,2012-2013
AlHorford,Atlanta Hawks,1.20E+07,C,74,37.2,17.4,7.8,14.3,54.3,0,0.1,50,1.8,2.8,64.4,10.2,3.2,1.1,1.1,2,43,0,19.84,26,2012-2013
AlonzoGee,Cleveland Cavaliers,3500000,SG,82,31,10.3,3.7,9.1,41,0.8,2.7,31.5,2,2.5,79.5,3.9,1.6,1.3,0.4,1.6,2,0,10.56,101,2012-2013
AmirJohnson,Toronto Raptors,6050000,C,81,28.7,10,4.1,7.5,55.4,0.1,0.2,38.5,1.7,2.3,72.7,7.5,1.5,1,1.4,1.4,15,0,17.33,105,2012-2013
AndreIguodala,Denver Nuggets,14968250,SF,80,34.7,13,5,11,45.1,1.1,3.6,31.7,1.9,3.4,57.4,5.3,5.4,1.7,0.7,2.6,10,1,15.27,65,2012-2013
AndreMiller,Denver Nuggets,5.00E+06,PG,82,26.2,9.6,3.7,7.7,47.9,0.2,0.8,26.6,2,2.4,84,2.9,5.9,0.9,0.1,2.1,4,0,15.69,109,2012-2013
BenGordon,Charlotte Bobcats,13200000,SG,75,20.8,11.2,4.1,10.1,40.8,1.5,3.9,38.7,1.4,1.7,84.3,1.7,1.9,0.5,0.2,1.8,0,0,12.74,85,2012-2013
BismackBiyombo,Charlotte Bobcats,3049920,C,80,27.3,4.8,2,4.3,45.1,0,0,0,0.9,1.8,52.1,7.3,0.4,0.4,1.8,1,7,0,10.07,167,2012-2013
BlakeGriffin,LA Clippers,13701250,PF,80,32.5,18,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66,8.3,3.7,1.2,0.6,2.3,28,1,22.44,19,2012-2013
BrandonBass,Boston Celtics,6.00E+06,PF,81,27.6,8.7,3.5,7.3,48.6,0,0,0,1.6,1.9,86,5.2,1,0.5,0.8,1,3,0,12.38,124,2012-2013
BrandonJennings,Milwaukee Bucks,3179493,G,80,36.2,17.5,6.2,15.6,39.9,2.2,5.8,37.5,2.9,3.5,81.9,3.1,6.5,1.6,0.1,2.5,13,0,16.2,23,2012-2013
BrandonKnight,Detroit Pistons,2678640,PG,75,31.5,13.3,4.8,11.7,40.7,1.6,4.4,36.7,2.2,3,73.3,3.3,4,0.8,0.1,2.7,3,0,12.04,60,2012-2013
BrookLopez,Brooklyn Nets,13668750,C,74,30.4,19.4,7.7,14.8,52.1,0,0,0,4,5.3,75.8,6.9,0.9,0.4,2.1,1.8,12,0,24.81,10,2012-2013
CarlosBoozer,Chicago Bulls,15300000,PF,79,32.2,16.2,6.9,14.4,47.7,0,0,0,2.4,3.3,73.1,9.8,2.3,0.8,0.4,2.2,44,0,17.17,37,2012-2013
CaronButler,LA Clippers,8.00E+06,SF,78,24.1,10.4,3.9,9.2,42.4,1.6,4.2,38.8,1,1.2,83.3,2.9,1,0.7,0.1,0.9,0,0,12.5,95,2012-2013
ChrisBosh,Miami Heat,19067500,PF,74,33.2,16.6,6.6,12.3,53.5,0.3,1,28.4,3.3,4.1,79.8,6.8,1.7,0.9,1.4,1.7,15,0,20.08,32,2012-2013
ChrisPaul,LA Clippers,18668431,PG,70,33.4,16.9,5.9,12.2,48.1,1.1,3.3,32.8,4.1,4.6,88.5,3.7,9.7,2.4,0.1,2.3,31,0,26.43,30,2012-2013
ChuckHayes,Sacramento Kings,5486250,PF,74,16.3,2.7,1.1,2.6,44.2,0,0,0,0.4,0.6,62.5,4,1.5,0.4,0.2,0.6,0,0,10.71,182,2012-2013
CoreyBrewer,Denver Nuggets,3243000,SG,82,24.4,12.1,4.6,10.8,42.5,1.1,3.7,29.6,1.8,2.6,69,2.9,1.5,1.4,0.3,1.2,0,0,14.76,72,2012-2013
CourtneyLee,Boston Celtics,5.00E+06,SG,78,24.9,7.8,3.2,6.8,46.4,0.7,2,37.2,0.8,0.9,86.1,2.4,1.8,1.1,0.3,1.1,0,0,11.71,136,2012-2013
D.J.Augustin,Indiana Pacers,3500000,PG,76,16.1,4.7,1.4,3.9,35,0.9,2.5,35.3,1.1,1.3,83.8,1.2,2.2,0.4,0,0.9,0,0,11.04,169,2012-2013
DahntayJones,Dallas Mavericks,2900000,SG,78,13,3.4,1.1,2.8,36.9,0.1,0.6,22.4,1.1,1.4,77,1.3,0.6,0.3,0.1,0.5,0,0,6.4,180,2012-2013
DamianLillard,Portland Trail Blazers,3065040,PG,82,38.6,19,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,3.1,6.5,0.9,0.2,3,7,0,16.45,12,2012-2013
DaniloGallinari,Denver Nuggets,9439000,SF,71,32.5,16.2,5.1,12.3,41.8,1.9,5.1,37.3,4,4.9,82.2,5.2,2.5,0.9,0.5,1.6,2,0,16.73,38,2012-2013
DanteCunningham,Minnesota Timberwolves,2090000,SF,80,25.1,8.7,3.9,8.4,46.8,0,0.1,0,0.8,1.3,65,5.1,0.8,1.1,0.5,0.7,3,0,13.35,122,2012-2013
DavidWest,Indiana Pacers,1.00E+07,F,73,33.4,17.1,6.9,13.8,49.8,0.1,0.3,21.1,3.3,4.3,76.8,7.7,2.9,1,0.9,2.2,16,1,20.15,27,2012-2013
DeAndreJordan,LA Clippers,10986550,C,82,24.5,8.8,3.8,6,64.3,0,0,0,1.2,3,38.6,7.2,0.3,0.6,1.4,1.2,12,0,17.21,119,2012-2013
DeMarcusCousins,Sacramento Kings,3880800,C,75,30.5,17.1,6.4,13.8,46.5,0.1,0.3,18.2,4.2,5.6,73.8,9.9,2.7,1.4,0.7,3,35,1,20.21,28,2012-2013
DeMarDeRozan,Toronto Raptors,3344250,SG,82,36.7,18.1,6.7,15,44.5,0.4,1.5,28.3,4.3,5.2,83.1,3.9,2.5,0.9,0.3,1.8,0,0,14.81,17,2012-2013
DeronWilliams,Brooklyn Nets,17177795,PG,78,36.4,18.9,6.3,14.4,44,2.2,5.7,37.8,4.1,4.7,85.9,3,7.7,1,0.4,2.8,21,0,20.38,13,2012-2013
DerrickWilliams,Minnesota Timberwolves,4809840,PF,78,24.6,12,4.3,10.1,43,0.8,2.5,33.2,2.5,3.5,70.6,5.5,0.6,0.6,0.5,1.3,8,0,14.55,74,2012-2013
DorellWright,Philadelphia 76ers,4106000,SF,79,22.6,9.2,3,7.6,39.6,1.7,4.6,37.4,1.5,1.8,85.1,3.8,1.9,0.8,0.4,0.8,0,0,16.07,113,2012-2013
DwyaneWade,Miami Heat,18673000,G,69,34.7,21.2,8.2,15.8,52.1,0.2,1,25.8,4.5,6.2,72.5,5,5.1,1.9,0.8,2.8,4,0,24.04,8,2012-2013
EdDavis,Memphis Grizzlies,2207040,C,81,20.1,7.7,3.2,6,53.9,0,0,0,1.3,2.1,61.7,5.7,0.8,0.5,1,0.8,9,0,17.82,140,2012-2013
EkpeUdoh,Milwaukee Bucks,3524880,C,76,17.3,4.3,1.5,3.5,43.5,0,0,0,1.2,1.6,74.8,3.3,0.6,0.5,1.1,0.6,1,0,12,171,2012-2013
EltonBrand,Dallas Mavericks,2100500,PF,72,21.2,7.2,3.1,6.6,47.3,0,0,0,0.9,1.3,71,6,1,0.7,1.3,0.8,8,0,15.19,146,2012-2013
EricBledsoe,LA Clippers,2626473,PG,76,20.4,8.5,3.3,7.5,44.5,0.4,1,39.7,1.4,1.8,79.1,3,3.1,1.4,0.7,1.8,2,0,17.6,128,2012-2013
ErsanIlyasova,Milwaukee Bucks,7900000,PF,73,27.6,13.2,5.1,11,46.2,1.3,2.9,44.4,1.7,2.2,79.6,7.1,1.6,0.9,0.5,1,18,0,18.37,62,2012-2013
EvanTurner,Philadelphia 76ers,5293080,SG,82,35.3,13.3,5.4,12.8,41.9,0.7,1.9,36.5,1.9,2.5,74,6.3,4.3,0.9,0.2,2.3,14,0,12.16,59,2012-2013
GeorgeHill,Indiana Pacers,8.00E+06,PG,76,34.5,14.2,5.1,11.5,44.3,1.7,4.6,36.8,2.3,2.8,81.7,3.7,4.7,1.1,0.3,1.5,3,0,16.59,50,2012-2013
GoranDragic,Phoenix Suns,7500000,PG,77,33.5,14.7,5.2,11.8,44.3,1.1,3.6,31.9,3.2,4.2,74.8,3.1,7.4,1.6,0.3,2.8,19,0,17.52,45,2012-2013
GregMonroe,Detroit Pistons,3217680,C,81,33.2,16,6.3,13.1,48.6,0,0,0,3.3,4.8,68.9,9.6,3.5,1.3,0.7,2.9,37,1,19.52,40,2012-2013
GregStiemsma,Minnesota Timberwolves,2575000,C,76,15.9,4,1.7,3.7,45.7,0,0,0,0.7,0.9,76.8,3.4,0.4,0.6,1.2,0.8,1,0,10.52,175,2012-2013
IanMahinmi,Indiana Pacers,4.00E+06,C,80,16.5,5,1.9,4.1,45.3,0,0,0,1.3,2.1,60.8,3.9,0.3,0.5,0.8,1.2,0,0,10.65,166,2012-2013
J.J.Barea,Minnesota Timberwolves,4493500,PG,74,23.1,11.3,4.3,10.2,41.7,1.3,3.8,34.6,1.4,1.8,78.4,2.8,4,0.4,0,2,1,0,14.16,84,2012-2013
JamalCrawford,LA Clippers,5225000,SF,76,29.3,16.5,5.9,13.4,43.8,2,5.2,37.6,2.8,3.3,87.1,1.7,2.5,1,0.2,1.9,0,0,16.89,34,2012-2013
JamesHarden,Houston Rockets,5820417,PG,78,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,4.9,5.8,1.8,0.5,3.8,9,1,23,5,2012-2013
JaredDudley,Phoenix Suns,4250000,SF,79,27.5,10.9,4,8.5,46.8,1.3,3.4,39.1,1.6,2.1,79.6,3.1,2.6,0.9,0.1,1.3,1,0,14.89,89,2012-2013
JasonMaxiell,Detroit Pistons,5.00E+06,PF,72,24.8,6.9,2.8,6.3,44.6,0,0,0,1.3,2,62.1,5.7,0.8,0.4,1.3,1.1,5,0,11.3,149,2012-2013
JasonTerry,Boston Celtics,5.00E+06,G,79,26.9,10.1,3.6,8.2,43.4,1.6,4.2,37.2,1.4,1.7,87,2,2.5,0.8,0.1,1.3,1,0,12.81,104,2012-2013
JasonThompson,Sacramento Kings,5250000,PF,82,27.9,10.9,4.6,9.1,50.2,0,0,0,1.7,2.5,69.4,6.7,1,0.6,0.7,1.2,13,0,14.64,90,2012-2013
JaValeMcGee,Denver Nuggets,1.00E+07,C,79,18.1,9.1,3.8,6.7,57.5,0,0,100,1.4,2.4,59.1,4.8,0.3,0.4,2,1.1,2,0,20.78,115,2012-2013
JeffGreen,Boston Celtics,8385000,SF,81,27.8,12.8,4.6,10,46.7,0.9,2.2,38.5,2.6,3.3,80.8,3.9,1.6,0.7,0.8,1.6,1,0,15.01,67,2012-2013
JeffTeague,Atlanta Hawks,2433077,PG,80,32.9,14.6,5.5,12.2,45.1,1.1,3.1,35.9,2.5,2.8,88.1,2.3,7.2,1.5,0.4,2.9,15,0,16.82,47,2012-2013
JeremyLin,Houston Rockets,8374646,PG,82,32.2,13.4,4.8,10.9,44.1,1.1,3.1,33.9,2.6,3.4,78.5,3,6.1,1.6,0.4,2.9,9,0,14.94,58,2012-2013
JerrydBayless,Memphis Grizzlies,3.00E+06,PG,80,22.1,8.7,3.3,7.8,41.9,0.9,2.5,35.3,1.3,1.5,83.6,2.2,3.3,0.7,0.2,1.5,0,0,13.51,123,2012-2013
JJHickson,Portland Trail Blazers,4.00E+06,C,80,29,12.7,5.2,9.3,56.2,0,0,0,2.3,3.4,67.9,10.4,1.1,0.6,0.6,1.8,40,0,19.71,69,2012-2013
JJRedick,Orlando Magic,6750000,SG,78,30.5,14.1,4.9,11.3,43.4,2.1,5.8,36.6,2.2,2.4,90,2.2,3.8,0.5,0.1,1.8,0,0,14.74,52,2012-2013
JoeJohnson,Brooklyn Nets,19752645,G,72,36.7,16.3,6.2,14.6,42.3,2.1,5.5,37.5,1.8,2.2,82,3,3.5,0.7,0.2,1.7,0,0,14.14,36,2012-2013
JohnSalmons,Sacramento Kings,8083000,SF,76,30,8.8,3.2,8.1,39.9,1.3,3.5,37.1,1.1,1.4,77.3,2.7,3,0.7,0.3,1.1,1,0,10.2,118,2012-2013
JoseCalderon,Toronto Raptors,11046591,PG,73,29.6,11.3,4.3,8.7,49.1,1.8,3.9,46.1,1,1.1,90,2.4,7.1,0.8,0.1,1.7,11,2,18.8,83,2012-2013
